# PoB2 Mac 简体中文显示词典。英文与中文以 TAB 分隔。
New	新建
New Folder	新建文件夹
New Folder...	新建文件夹…
Open	打开
Copy	复制
Paste	粘贴
Rename	重命名
Delete	删除
Remove	移除
Add	添加
Edit	编辑
Edit...	编辑…
Save	保存
Save As	另存为
Save As...	另存为…
Cancel	取消
Close	关闭
Ok	确定
OK	确定
Yes	是
No	否
Done	完成
Apply	应用
Reset	重置
Default	默认
None	无
All	全部
Auto	自动
Manual	手动
Start	开始
Stop	停止
Search	搜索
Search...	搜索…
Search:	搜索：
Name	名称
Name:	名称：
Level	等级
Level:	等级：
Class	职业
Class:	职业：
Ascendancy	升华
Ascendancy:	升华：
Sort by Name	按名称排序
Sort by Class	按职业排序
Sort by Last Edited	按修改时间排序
Sort by Level	按等级排序
Last Edited	最后修改
Options	设置
About	关于
Help	帮助
Help:	帮助：
Help (web)	在线帮助
Dismiss	关闭提示
Check for Update	检查更新
Check for update	检查更新
Checking for update...	正在检查更新…
Update Ready	更新已就绪
Update Available	有可用更新
Update	更新
Open Download Page	打开下载页面
Skip This Version	跳过此版本
Version history:	版本历史：
Use system default	使用系统默认
<< Back	<< 返回
Back	返回
Import/Export Build	导入 / 导出
Import/Export	导入 / 导出
Notes	备注
Configuration	配置
Tree	天赋树
Skills	技能
Items	装备
Calcs	计算
Party	队伍
Build	配装
Builds	配装列表
Build Name	配装名称
Unnamed build	未命名配装
Don't Save	不保存
Enter new build name:	输入新的配装名称：
Enter name for this loadout:	输入配置方案名称：
Enter folder name:	输入文件夹名称：
Create	创建
New build	新建配装
Save build	保存配装
Delete Build	删除配装
Delete Folder	删除文件夹
Rename Build	重命名配装
Rename Folder	重命名文件夹
Import	导入
Import:	导入：
Export	导出
Share	分享
Generate	生成
Creating link...	正在生成链接…
Character Import	角色导入
Build Sharing	配装分享
Build Import/Export	配装导入 / 导出
Import from:	导入来源：
League:	赛季：
Account Name	账号名称
Account name:	账号名称：
Character:	角色：
Choose character to import data from:	选择要导入的角色：
To start importing a character, select your character's realm:	选择角色所在服务器以开始导入：
Authorize with Path of Exile	授权流放之路账号
Logout from Path of Exile API	退出账号授权
Passive Tree and Jewels	天赋树与珠宝
Items and Skills	装备与技能
Delete jewels:	清除原有珠宝：
Delete skills:	清除原有技能：
Delete equipment:	清除原有装备：
Ignore weapon swap:	忽略备用武器：
Delete all existing jewels when importing.	导入时清除所有原有珠宝。
Delete all existing skills when importing.	导入时清除所有原有技能。
Delete all equipped items when importing.	导入时清除所有已装备物品。
Ignore items and skills in weapon swap.	忽略备用武器组的装备和技能。
Generate a code to share this build with other Path of Building users:	生成配装代码，分享给其他 PoB 用户：
To import a build, enter URL or code here:	在此输入链接或配装代码以导入：
Note: this code can be very long; you can use 'Share' to shrink it.	代码可能很长，可用“分享”生成短链接。
Export Support	导出辅助配置
Import to this build	导入当前配装
Import to a new build	导入为新配装
New Build	新建配装
Current Build	当前配装
Item set:	装备方案：
Skill set:	技能方案：
Passive tree:	天赋树：
Passive Tree	天赋树
Manage...	管理…
Manage	管理
Manage Spectres...	管理灵体…
Manage Beasts...	管理野兽…
Trade for these items	搜索这些装备的交易
Equipped items:	已装备物品：
Weapon Set:	武器组：
Weapon set:	武器组：
Uniques	传奇装备
Rare Templates	稀有装备模板
Craft item...	制作装备…
Create custom...	自定义装备…
Add to build	加入配装
Save changes	保存修改
Anoint...	涂油…
Corrupt...	腐化…
Quality:	品质：
Quality	品质
Added Passives:	附加天赋点：
Add modifier...	添加词缀…
Custom:	自定义：
Normal	普通
Magic	魔法
Rare	稀有
Unique	传奇
Relic	遗珍
Rarity:	稀有度：
Item Level:	物品等级：
Item level:	物品等级：
Requirements:	需求：
Requires	需求
Corrupted	已腐化
Unidentified	未鉴定
Sockets:	插槽：
Socketed in:	装备位置：
Weapon 1	武器 1
Weapon 2	武器 2
Weapon 1 (Swap)	备用武器 1
Weapon 2 (Swap)	备用武器 2
Helmet	头盔
Body Armour	胸甲
Gloves	手套
Boots	鞋子
Amulet	项链
Ring 1	戒指 1
Ring 2	戒指 2
Ring 3	戒指 3
Belt	腰带
Flask 1	药剂 1
Flask 2	药剂 2
Charm 1	护符 1
Charm 2	护符 2
Charm 3	护符 3
Jewel	珠宝
Jewels	珠宝
Rune	符文
Runes	符文
Shield	盾牌
Quiver	箭袋
Bow	弓
Crossbow	弩
Wand	法杖
Staff	长杖
Sceptre	权杖
Quarterstaff	长棍
Spear	长矛
Claw	爪
Dagger	匕首
Sword	剑
Axe	斧
Mace	锤
One Handed Mace	单手锤
Two Handed Mace	双手锤
Life Flask	生命药剂
Mana Flask	魔力药剂
Normal Maximum	普通等级上限
Corrupted Maximum	腐化等级上限
Awakened Maximum	觉醒等级上限
Match Character Level	匹配角色等级
Sort gems by DPS:	按伤害排序宝石：
Default gem level:	默认宝石等级：
Default gem quality:	默认宝石品质：
Show support gems:	显示辅助宝石：
Enabled:	启用：
Enabled	启用
Disabled	禁用
Include in Full DPS:	计入总 DPS：
Full DPS	总 DPS
Combined DPS	综合 DPS
Hit DPS	击中 DPS
Average Hit	平均击中伤害
DoT DPS	持续伤害 DPS
Bleed DPS	流血 DPS
Ignite DPS	点燃 DPS
Poison DPS	中毒 DPS
Effective Hit Pool	有效生命池
Main Skill	主要技能
Main skill:	主要技能：
Skill Part:	技能阶段：
Skill part:	技能阶段：
Minion:	召唤生物：
Minion	召唤生物
Minions	召唤生物
Active Skills	主动技能
Support Gems	辅助宝石
Skill Gems	技能宝石
New Group	新建技能组
Delete Group	删除技能组
<No skills added yet>	<尚未添加技能>
<No active skills>	<无主动技能>
Group name:	技能组名称：
Show all skills	显示全部技能
Show all	显示全部
Show All	显示全部
Hide	隐藏
Player	玩家
Enemy	敌人
Enemy Stats	敌人属性
General	常规
General Settings	常规设置
When In Combat	战斗状态
For Effective DPS	有效 DPS 配置
Map Modifiers	地图词缀
Custom Modifiers	自定义词缀
Custom modifiers:	自定义词缀：
Enemy Level	敌人等级
Enemy Level:	敌人等级：
Is the enemy a Boss?	敌人是首领吗？
Standard Boss	普通首领
Pinnacle Boss	巅峰首领
Uber Pinnacle Boss	超级巅峰首领
Enemy Physical Damage Reduction	敌人物理伤害减免
Enemy Fire Resistance	敌人火焰抗性
Enemy Cold Resistance	敌人冰霜抗性
Enemy Lightning Resistance	敌人闪电抗性
Enemy Chaos Resistance	敌人混沌抗性
Are you on Full Life?	是否满血？
Are you on Low Life?	是否处于低血状态？
Are you on Full Energy Shield?	能量护盾是否全满？
Do you use Power Charges?	是否使用暴击球？
Do you use Frenzy Charges?	是否使用狂怒球？
Do you use Endurance Charges?	是否使用耐力球？
Is the enemy Shocked?	敌人是否被感电？
Is the enemy Chilled?	敌人是否被冰缓？
Is the enemy Frozen?	敌人是否被冻结？
Is the enemy Ignited?	敌人是否被点燃？
Is the enemy Bleeding?	敌人是否在流血？
Is the enemy Poisoned?	敌人是否中毒？
Is the enemy Blinded?	敌人是否被致盲？
Is the enemy on Full Life?	敌人是否满血？
Is the enemy on Low Life?	敌人是否处于低血状态？
Buffs	增益效果
Debuffs	减益效果
Charges	能量球
Power Charges	暴击球
Frenzy Charges	狂怒球
Endurance Charges	耐力球
Rage	怒火
Life	生命
Mana	魔力
Spirit	精魂
Energy Shield	能量护盾
Armour	护甲
Evasion	闪避
Evasion Rating	闪避值
Ward	守护
Strength	力量
Dexterity	敏捷
Intelligence	智慧
Attributes	属性
Defences	防御
Defence	防御
Offence	进攻
Resistances	抗性
Fire Resistance	火焰抗性
Cold Resistance	冰霜抗性
Lightning Resistance	闪电抗性
Chaos Resistance	混沌抗性
Fire Resist	火焰抗性
Cold Resist	冰霜抗性
Lightning Resist	闪电抗性
Chaos Resist	混沌抗性
Physical	物理
Fire	火焰
Cold	冰霜
Lightning	闪电
Chaos	混沌
Elemental	元素
Physical Damage	物理伤害
Fire Damage	火焰伤害
Cold Damage	冰霜伤害
Lightning Damage	闪电伤害
Chaos Damage	混沌伤害
Elemental Damage	元素伤害
Total Damage	总伤害
Total DPS	总 DPS
Damage	伤害
Damage over Time	持续伤害
Damage Over Time	持续伤害
Attack	攻击
Spell	法术
Melee	近战
Projectile	投射物
Area	范围
Duration	持续时间
Cooldown	冷却时间
Cooldown Recovery	冷却回复
Attack Rate	攻击频率
Attack Speed	攻击速度
Cast Rate	施法频率
Cast Speed	施法速度
Crit Chance	暴击率
Critical Strike Chance	暴击率
Crit Multiplier	暴击伤害倍率
Critical Strike Multiplier	暴击伤害倍率
Critical Damage Bonus	暴击伤害加成
Accuracy	命中值
Accuracy Rating	命中值
Hit Chance	命中率
Chance to Hit	命中率
Block Chance	格挡率
Spell Block Chance	法术格挡率
Evade Chance	闪避率
Movement Speed	移动速度
Mana Cost	魔力消耗
Life Cost	生命消耗
Spirit Cost	精魂消耗
Mana Regen	魔力再生
Life Regen	生命再生
ES Regen	护盾再生
Life Recovery	生命回复
Mana Recovery	魔力回复
Life Leech	生命偷取
Mana Leech	魔力偷取
Unreserved Life	未保留生命
Unreserved Mana	未保留魔力
Unreserved Spirit	未保留精魂
Total Life	总生命
Total Mana	总魔力
Total Spirit	总精魂
Total Energy Shield	总能量护盾
Life Reservation	生命保留
Mana Reservation	魔力保留
Spirit Reservation	精魂保留
Effective DPS	有效 DPS
Average Damage	平均伤害
Average Burst Damage	平均爆发伤害
Total DoT DPS	总持续伤害 DPS
Total Poison DPS	总中毒 DPS
Poison Chance	中毒几率
Bleed Chance	流血几率
Ignite Chance	点燃几率
Shock Chance	感电几率
Freeze Chance	冻结几率
Stun Chance	眩晕几率
Stun Threshold	眩晕门槛
Ailments	异常状态
Bleeding	流血
Poison	中毒
Ignite	点燃
Shock	感电
Chill	冰缓
Freeze	冻结
Stun	眩晕
Blind	致盲
Exposure	曝露
Impale	穿刺
Fortification	护体
Onslaught	猛攻
Tailwind	顺风
Consecrated Ground	奉献地面
Burning Ground	燃烧地面
Chilled Ground	冰缓地面
Shocked Ground	感电地面
Warrior	战士
Mercenary	佣兵
Ranger	游侠
Huntress	女猎手
Monk	武僧
Sorceress	女术士
Witch	女巫
Druid	德鲁伊
Titan	泰坦
Warbringer	战争使者
Deadeye	锐眼
Pathfinder	追猎者
Invoker	唤灵者
Acolyte of Chayula	夏乌拉侍僧
Stormweaver	风暴编织者
Chronomancer	时空术士
Blood Mage	血法师
Infernalist	狱炎术士
Witchhunter	猎巫人
Gemling Legionnaire	宝石军团士兵
Amazon	亚马逊
Ritualist	仪式师
Tactician	战术家
Smith of Kitava	奇塔弗工匠
Lich	巫妖
Passive Points	天赋点
Ascendancy Points	升华点
Weapon Set Points	武器组天赋点
Reset Tree	重置天赋树
Reset tree	重置天赋树
Import Tree	导入天赋树
Export Tree	导出天赋树
Search tree	搜索天赋树
Search Tree	搜索天赋树
Show Node Power	显示节点强度
Show node power	显示节点强度
Compare	比较
Compare with:	对比方案：
Allocated	已分配
Unallocated	未分配
Notable	核心天赋
Keystone	基石天赋
Mastery	专精
Maximum	最大值
Minimum	最小值
Average	平均值
Total	总计
Base	基础
Increased	提高
More	额外提高
Reduced	降低
Less	额外降低
Main Hand	主手
Off Hand	副手
Main hand	主手
Off hand	副手
Attack/Cast Rate	攻击 / 施法频率
Skill Hit Damage	技能击中伤害
Skill type-specific Stats	技能类型属性
Other Effects	其他效果
Misc	其他
Miscellaneous	其他
Calculation Mode:	计算模式：
Calculation mode:	计算模式：
Skill:	技能：
Socket Group:	技能组：
Show Minion Stats	显示召唤生物属性
Show minion stats	显示召唤生物属性
Red & Blue	红与蓝
Red & Green	红与绿
Green & Blue	绿与蓝
Language	语言
Language:	语言：
User Interface	用户界面
Display	显示
Font Size	字号
Font size:	字号：
UI Scale:	界面缩放：
Proxy	代理
Proxy:	代理：
Network	网络
Check for updates on startup	启动时检查更新
Enable Unicode support	启用 Unicode 支持
Hide unused stats	隐藏未使用的属性
Enable	启用
Disable	禁用
Import successful	导入成功
Import Successful	导入成功
Error	错误
Warning	提示
Loading...	正在加载…
Downloading...	正在下载…
Select All	全选
Select all	全选
Clear	清空
Undo	撤销
Redo	重做
Duplicate	复制副本
Move Up	上移
Move Down	下移
Any league	任意赛季
Any requirements	任意需求
Any slot	任意部位
Any type	任意类型
Anywhere	任意位置
Append	追加
Delete All	全部删除
Delete Unused	删除未使用项
Disable Party Effects	禁用队伍效果
Gem Options	宝石设置
Guardian/Pinnacle Boss	守卫 / 巅峰首领
Ignore Jewel Limits	忽略珠宝限制
Obtainable	可获得
Quest Rewards	任务奖励
Show All Configurations	显示全部配置
Show Color Codes	显示颜色代码
Sort	排序
Version	版本
Code	代码
Nothing	无
Current build	当前配装
PoB Community Fork	PoB 社区版
Are you Fortified?	是否拥有护体？
Are you Sprinting?	是否正在冲刺？
Are you on Consecrated Ground?	是否位于奉献地面？
Do you have Adrenaline?	是否拥有肾上腺素？
Do you have Arcane Surge?	是否拥有秘术增强？
Do you have Chaotic Might?	是否拥有混沌之力？
Do you have Onslaught?	是否拥有猛攻？
Do you have Unholy Might?	是否拥有不洁之力？
Have you been Stunned Recently?	近期是否被眩晕？
Infusion consumed recently?	近期是否消耗了灌注？
Is the enemy Crushed?	敌人是否被碾压？
Is the enemy Dazed?	敌人是否处于茫然状态？
Is the enemy Intimidated?	敌人是否被威吓？
Is the enemy Maimed?	敌人是否被瘫痪？
